직업번호,새파일명,이전파일명,직업명_KR,직업명_JP,AI관계유형,생성프롬프트(요약)
"27","27-CR.png","34-CE.png","캐셔","レジ係","AI 대체위험형","The cat wears a store apron and name tag, scanning a grocery item with a barcode reader. S"
"28","28-CS.png","35-CE.png","비서","秘書","AI 대체위험형","The cat wears a neat blouse, juggling a phone, coffee cup, and folder stack simultaneously"
"29","29-CR.png","36-CS.png","우체국 직원","郵便局員","AI 대체위험형","The cat wears a postal uniform and cap, stuffing letters into a small red mailbox. A bulgi"
"30","30-CE.png","37-CI.png","회계사","会計士","AI 대체위험형","The cat wears glasses and tie, punching numbers on a big calculator. Ledger books, receipt"
"31","31-AC.png","38-AI.png","그래픽 디자이너","グラフィックデザイナー","AI 대체위험형","The cat wears a black turtleneck, drawing on a pen tablet. Pantone color swatches scattere"
"32","32-RC.png","39-RC.png","인쇄업 종사자","印刷業従事者","AI 대체위험형","The cat wears an ink-stained apron, pulling a sheet from a small printing press. CMYK ink "
"33","33-RC.png","40-RC.png","창고관리원","倉庫管理者","AI 대체위험형","The cat wears a safety vest and hard hat, driving a tiny forklift carrying boxes. Stacked "
"34","34-SC.png","41-SE.png","콜센터 상담원","コールセンター相談員","AI 대체위험형","The cat wears a polo shirt and headset, typing while on a call. A monitor showing chat win"
"35","35-CA.png","42-IA.png","번역가","翻訳者","AI 대체위험형","The cat wears reading glasses, marking a manuscript with a red pen. Thick dictionaries sta"
"36","36-EC.png","43-ES.png","보험 설계사","保険プランナー","AI 대체위험형","The cat wears a business suit, showing a chart with umbrella icon to a small client cat ac"
"37","37-RC.png","44-RC.png","농부","農家","AI 무관형","The cat wears a straw hat and overalls, planting a seedling with muddy paws. Watering can,"
"38","38-RC.png","45-RE.png","어부","漁師","AI 무관형","The cat wears a yellow raincoat, reeling in a big fish on a rod. A tackle box, net, and bu"
"39","39-RC.png","46-RE.png","목축업자","畜産農家","AI 무관형","The cat wears farm overalls, bottle-feeding a tiny calf. A hay bale, milk bucket, and barn"
"40","40-RC.png","47-RI.png","산림관리사","森林管理士","AI 무관형","The cat wears a ranger uniform and hat, planting a tree sapling. Binoculars, walkie-talkie"
"41","41-RA.png","48-RA.png","셰프","シェフ","AI 무관형","The cat wears a chef hat and apron, flipping food in a flaming wok. Spices, vegetables, an"
"42","42-RA.png","49-RA.png","파티시에","パティシエ","AI 무관형","The cat wears a pastry chef toque, piping frosting on a tiered cake. Macarons, croissants,"
"43","43-RA.png","50-RA.png","목수","大工","AI 무관형","The cat wears a carpenter apron, sawing a plank on a workbench. Wood shavings, a hammer, a"
"44","44-RC.png","51-RC.png","배관공","配管工","AI 무관형","The cat wears work overalls, tightening a pipe with a big wrench. Water dripping. Toolbox "
"45","45-RS.png","52-RS.png","소방관","消防士","AI 무관형","The cat wears a firefighter helmet and jacket, blasting a fire hose. An axe, fire extingui"
"46","46-ES.png","53-RE.png","경찰관","警察官","AI 무관형","The cat wears a police uniform and cap, blowing a whistle and holding a baton. A walkie-ta"
"47","47-RE.png","54-RE.png","군인","自衛官","AI 무관형","The cat wears camouflage fatigues and helmet, saluting. Dog tags, canteen, and binoculars "
"48","48-RC.png","55-RC.png","택배기사","宅配ドライバー","AI 무관형","The cat wears a delivery uniform and cap, carrying a tower of stacked boxes. A hand scanne"
"49","49-RC.png","56-RE.png","건설노동자","建設作業員","AI 무관형","The cat wears a hard hat and reflective vest, shoveling cement. Bricks, steel beams, and a"
"50","50-AE.png","57-AE.png","삐에로","ピエロ","AI 무관형","The cat wears a polka-dot clown suit with red nose, juggling colorful balls. Oversized sho"
"51","51-RE.png","58-RS.png","운동선수","スポーツ選手","AI 무관형","The cat wears a sports jersey and sneakers, holding a trophy overhead. A gold medal, sport"
"52","52-AI.png","59-IA.png","조향사","調香師","AI 무관형","The cat wears a silk scarf, mixing oils with a dropper into a perfume bottle. Rose petals,"
"53","53-AR.png","60-RA.png","도예가","陶芸家","AI 무관형","The cat wears a messy clay apron, shaping a vase on a pottery wheel. Finished pots and cla"
"54","54-AR.png","61-AS.png","플로리스트","フローリスト","AI 무관형","The cat wears a gardening apron, arranging flowers into a bouquet. Scissors, ribbon, and b"
"55","55-AR.png","62-AS.png","미용사","美容師","AI 무관형","The cat wears a salon apron, cutting another small cat's hair with scissors and comb. Hair"
"56","56-ER.png","63-EC.png","수산물 경매사","水産物競り人","AI 무관형","The cat wears a fish market cap, pointing at a giant tuna and shouting. Price tags, styrof"
"57","57-RI.png","64-SR.png","사육사","飼育員","AI 무관형","The cat wears a zookeeper khaki uniform, feeding bamboo to a small panda. A bucket of feed"
"58","58-SC.png","65-SE.png","장례지도사","葬儀ディレクター","AI 무관형","The cat wears a formal black suit, gently placing a white flower on a small ceremonial sta"
"59","59-RA.png","66-RA.png","전통공예 장인","伝統工芸職人","AI 무관형","The cat wears traditional craftsman clothes, painting fine patterns on a lacquer bowl with"
"60","60-RS.png","67-RS.png","산악구조대원","山岳救助隊員","AI 무관형","The cat wears climbing gear and helmet, holding a rescue rope and carabiner. A first aid k"
"61","61-RC.png","68-RE.png","잠수부","ダイバー","AI 무관형","The cat wears a full diving suit with mask and oxygen tank. A welding tool, fins, and unde"
"62","62-RI.png","69-RC.png","항해사","航海士","AI 무관형","The cat wears a captain hat and navy uniform, gripping a ship's wheel. A nautical map, com"
"63","63-AS.png","70-AS.png","점성술사","占星術師","AI 무관형","The cat wears a starry wizard robe and pointed hat, gazing into a crystal ball. Tarot card"
"64","64-AS.png","71-AS.png","역술가","易学者","AI 무관형","The cat wears traditional East Asian robes, shaking fortune sticks from a bamboo cylinder."
"65","65-AE.png","72-AE.png","마술사","マジシャン","AI 무관형","The cat wears a tuxedo and cape, pulling a rabbit from a top hat. Playing cards, magic wan"
"66","66-RA.png","73-RE.png","스턴트맨","スタントマン","AI 무관형","The cat wears a leather stunt jacket and helmet, mid-leap with arms spread. A movie clappe"
"67","67-IR.png","26-AE.png","프로게이머","プロゲーマー","AI 강화형","The cat wears a team jersey, mashing buttons on a game controller. A chunky monitor showin"
"68","68-AE.png","74-AE.png","먹방 크리에이터","グルメ系クリエイター","AI 무관형","The cat holds chopsticks eating from a giant ramen bowl, cheeks full. A camera on tripod a"
"69","69-RE.png","75-RE.png","경마 기수","騎手","AI 무관형","The cat wears colorful jockey silks and helmet, riding a small horse figurine. A riding cr"
"70","70-EI.png","76-EI.png","사립탐정","探偵","AI 무관형","The cat wears a trench coat and deerstalker hat, peering through a magnifying glass. Case "
"71","71-RC.png","77-RE.png","트러플 헌터","トリュフハンター","AI 무관형","The cat wears a rustic vest and boots, digging with a small shovel. A truffle-hunting dog "
"72","72-IR.png","78-IR.png","남극 관측 연구원","南極観測研究員","AI 무관형","The cat wears an enormous puffy parka and goggles, holding an ice core sample. A penguin f"
"73","73-RE.png","79-RE.png","열기구 조종사","熱気球パイロット","AI 무관형","The cat wears aviator goggles and a scarf, standing in a hot air balloon basket. A flame b"
"74","74-RC.png","80-RS.png","목동(양떼 관리)","牧童","AI 무관형","The cat wears a wool poncho and floppy hat, holding a shepherd's crook. Small fluffy sheep"
"75","75-RA.png","81-RA.png","분재 장인","盆栽師","AI 무관형","The cat wears a Japanese gardening apron, trimming a tiny bonsai tree with miniature sciss"
"76","76-RA.png","82-RA.png","도검 장인","刀鍛冶","AI 무관형","The cat wears a blacksmith headband and leather apron, hammering a glowing red blade on an"
"77","77-SR.png","83-SR.png","돌고래 트레이너","イルカトレーナー","AI 무관형","The cat wears a wetsuit, blowing a whistle and tossing a fish. A small dolphin figurine ju"
"78","78-RC.png","84-RC.png","온천 관리인","湯守","AI 무관형","The cat wears a Japanese yukata with towel on head, testing water with a thermometer. Stea"
"79","79-RA.png","85-RA.png","초밥 장인","寿司職人","AI 무관형","The cat wears a traditional white headband, carefully pressing nigiri sushi with both paws"
"80","80-AI.png","86-EI.png","풍수 전문가","風水師","AI 무관형","The cat wears traditional Chinese silk clothes, holding a luopan compass. A bagua chart, f"
"81","81-AI.png","27-AI.png","웹툰 작가","ウェブトゥーン作家","AI 강화형","The cat wears a beret, drawing manga panels on a big tablet with stylus. Finished comic pa"
"82","82-AE.png","28-AE.png","성우","声優","AI 강화형","The cat wears headphones, performing dramatically into a studio microphone. A script sheet"
"83","83-IR.png","87-IA.png","소믈리에","ソムリエ","AI 무관형","The cat wears a sommelier vest with tastevin chain, swirling a glass of red wine. Wine bot"
"84","84-AR.png","88-EA.png","바텐더","バーテンダー","AI 무관형","The cat wears a vest and bow tie, shaking a cocktail shaker overhead. Colorful bottles, co"
"85","85-IC.png","29-RI.png","보석 감정사","宝石鑑定士","AI 강화형","The cat wears a jeweler apron, examining a diamond through a loupe. Gemstones scattered on"
"86","86-EI.png","30-EI.png","골동품 딜러","骨董品ディーラー","AI 강화형","The cat wears a monocle and vintage vest, inspecting an antique vase. Old clock, pottery, "
"87","87-RC.png","89-RI.png","피아노 조율사","ピアノ調律師","AI 무관형","The cat wears a neat work shirt, leaning into an open grand piano adjusting pins with a wr"
"88","88-AR.png","90-AS.png","네일 아티스트","ネイリスト","AI 무관형","The cat wears a cute apron, painting a tiny flower on another cat's nail with a micro brus"
"89","89-SR.png","91-RE.png","사파리 가이드","サファリガイド","AI 무관형","The cat wears a safari hat and khaki outfit, looking through binoculars. A small giraffe f"
"90","90-RI.png","92-IR.png","우주비행사","宇宙飛行士","AI 무관형","The cat wears a white astronaut suit with helmet visor up, floating pose. A small Earth gl"
"91","91-RI.png","93-RI.png","우주쓰레기 수거 오퍼레이터","スペースデブリ除去オペレーター","미래신생형","The cat wears a futuristic space suit, operating a robotic claw arm. Broken satellite debr"
"92","92-RI.png","94-RE.png","우주 광부","宇宙鉱夫","미래신생형","The cat wears a heavy mining suit, drilling into a glowing rock with a futuristic pickaxe."
"93","93-IR.png","95-RI.png","기후 적응 설계사","気候適応デザイナー","미래신생형","The cat wears a futuristic architect outfit, holding a holographic city blueprint tablet. "
"94","94-IR.png","96-IR.png","멸종 복원 생물학자","絶滅復元生物学者","미래신생형","The cat wears a biotech lab coat, looking at a tiny mammoth in a glass pod. DNA helix mode"
"95","95-RC.png","97-RE.png","해양 플라스틱 수거 선장","海洋プラスチック回収船長","미래신생형","The cat wears a captain hat and waterproof jacket, holding a ship wheel. A net full of pla"
"96","96-RA.png","98-RA.png","식용곤충 셰프","昆虫食シェフ","미래신생형","The cat wears a chef outfit, plating a gourmet dish. Containers labeled CRICKET FLOUR and "
"97","97-SC.png","99-SE.png","수명 설계사","寿命デザイナー","미래신생형","The cat wears a neat blazer, drawing on a small whiteboard showing a life timeline 20s-100"
"98","98-AI.png","100-AI.png","NPC 성격 작가","NPC性格ライター","미래신생형","The cat wears glasses and hoodie, typing on keyboard. Small NPC game characters standing o"
"99","99-SC.png","101-SI.png","디지털 장의사","デジタル葬儀師","미래신생형","The cat wears a formal dark outfit, organizing small holographic profile cards. A digital "
"100","100-SA.png","102-SE.png","외로움 해소 전문가","孤独対策専門家","미래신생형","The cat wears a cozy sweater, handing a tea cup to a small lonely cat. Board games, photo "
"101","101-SI.png","103-SA.png","수면 코치","睡眠コーチ","미래신생형","The cat wears a sleep mask pushed up on forehead, holding a sleep chart clipboard. A pillo"
"102","102-SE.png","104-SE.png","지구 탈출 가이드","地球脱出ガイド","미래신생형","The cat wears a space tourism uniform, holding a small flag. A rocket model, luggage with "
"103","103-AE.png","105-AE.png","개그맨","お笑い芸人","AI 무관형","The cat wears a flashy comedy costume with bow tie, holding a microphone doing a silly pos"
"104","104-IR.png","31-IR.png","물리학자","物理学者","AI 강화형","The cat wears a rumpled lab coat with wild hair, scribbling E=mc2 on a small chalkboard. A"
"105","105-IA.png","32-IA.png","소설가","小説家","AI 강화형","The cat wears reading glasses and a cozy sweater, typing on a vintage typewriter. Crumpled"
